,name,x1,c,mass,x1_err,c_err,mass_err,set
167,1337221,-0.315507,-0.235054,8.565,0.5203,0.0377941,0.067,DES
168,1337228,-0.712539,-0.0678551,10.341,0.766,0.0743364,1.789,DES
169,1337272,-0.965961,-0.0772274,8.602,0.5706,0.0481425,0.135,DES
171,1337649,1.0674,0.0506131,8.682,0.1885,0.0284589,0.0315,DES
173,1337687,0.8763,-0.112113,8.4,0.1527,0.0243073,0.136,DES
174,1337703,-1.03837,-0.104678,10.583,0.4618,0.044605,0.1245,DES
175,1337838,1.0021,-0.0334336,8.424,0.2027,0.0257437,0.4435,DES
176,1338128,-0.685718,-0.00929745,9.265,0.332,0.033243,0.0255,DES
177,1338170,-0.0811555,0.0514283,9.889,0.5848,0.0448232,0.038,DES
178,1338233,-1.47269,-0.10872,10.984,0.937,0.0717725,0.024,DES
179,1338266,-0.373197,-0.0887644,8.965,0.5787,0.0441029,0.3485,DES
180,1338278,1.7086,0.0060643,9.919,0.8061,0.0503989,0.058,DES
182,1338430,0.5287,-0.0715848,10.781,0.485,0.0400408,0.0375,DES
183,1338471,-0.917901,-0.0403168,10.123,1.212,0.0604796,0.0905,DES
184,1338675,0.0154146,0.0263952,9.507,0.19,0.0261077,0.017,DES
185,1339002,-1.25329,0.1117,10.871,0.3876,0.0450759,0.017,DES
186,1339149,-0.268257,0.0226112,9.94,0.5045,0.0414309,0.002,DES
187,1339392,-0.415723,-0.0281054,10.292,0.6202,0.0558366,0.0435,DES
188,1339450,-1.1752,0.0798788,11.044,1.0737,0.066236,0.093,DES
189,1340454,1.4206,0.1213,9.909,0.481,0.0385489,0.019,DES
190,1341370,1.1261,0.0211804,8.648,0.5686,0.0373205,0.0555,DES
191,1341894,-0.226179,-0.0445568,10.003,0.368,0.0354101,0.009,DES
192,1342255,0.2514,-0.0826255,10.024,0.2985,0.0266124,0.0665,DES
193,1343208,-0.0862641,-0.0117207,10.385,0.3665,0.0299118,0.031,DES
194,1343337,0.7746,0.1627,9.832,0.6745,0.0410575,0.0825,DES
195,1343401,0.7521,-0.0581411,10.74,0.777,0.0383133,0.073,DES
196,1343533,-0.889937,-0.00552683,10.759,1.1488,0.067393,0.1305,DES
197,1343759,0.6843,-0.0916753,9.74,0.3481,0.0244733,0.036,DES
198,1343871,1.2702,-0.108535,8.743,1.2203,0.0467736,0.9285,DES
199,1344692,-1.80346,0.1696,11.06,1.7997,0.0892283,0.047,DES
200,1345553,0.2866,-0.143369,10.034,0.5218,0.0308717,0.1035,DES
201,1345582,0.95,-0.0956182,9.914,1.4668,0.0497113,0.43,DES
202,1345594,-0.0055933,-0.143577,11.19,1.1413,0.0503176,0.154,DES
203,1346137,0.8247,0.0250438,10.093,0.6204,0.0421234,0.101,DES
204,1346387,-2.11075,-0.0273758,10.812,0.3331,0.0272965,0.0525,DES
206,1346966,0.6191,-0.0999749,9.557,0.3941,0.031793,0.084,DES
0,000006,0.0365123,0.136,10.793,0.4148,0.0365631,0.055,PS1
1,000011,-2.15371,0.1279,11.764,0.5511,0.0403359,0.1,PS1
2,000034,0.9692,-0.109525,8.938,0.3553,0.0253223,0.669,PS1
4,000142,-0.741331,-0.0221802,11.713,0.4232,0.0382952,0.051,PS1
5,000190,0.091133,0.0128472,9.799,0.0986647,0.0256927,0.52,PS1
6,000199,0.8966,-0.0951558,10.475,0.2282,0.0241524,0.379,PS1
7,000215,0.9828,-0.0850942,8.707,0.3143,0.0298197,8.177,PS1
8,000236,-0.2042,-0.0726581,10.902,0.1422,0.0258878,0.009,PS1
9,000420,-0.759306,-0.0682782,9.742,0.1787,0.0259695,0.708,PS1
10,010026,-0.407068,-0.0230311,10.205,0.0823557,0.0326246,0.01,PS1
11,020027,0.3037,0.0447153,10.748,0.1516,0.0289418,0.107,PS1
12,020096,-0.693198,-0.0651011,9.059,0.2157,0.0328227,0.642,PS1
13,020176,0.9107,-0.0764723,8.7022,0.3094,0.0269905,0.1,PS1
14,030066,1.3874,-0.119485,9.134,0.3686,0.0337059,0.243,PS1
15,040137,1.1067,0.0371509,8.743,0.5394,0.0449073,0.953,PS1
16,040166,0.3511,-0.137588,8.798,0.6198,0.0450388,1.167,PS1
17,040782,-0.584295,0.1644,10.152,0.4376,0.042576,0.358,PS1
18,050005,1.4136,0.00545954,9.633,0.672,0.0432041,0.557,PS1
19,050203,1.0254,-0.109377,8.835,0.6766,0.058133,1.294,PS1
20,050251,0.707,0.00277102,11.401,0.5873,0.0469027,0.015,PS1
21,050293,0.426,-0.0106875,8.555,0.408,0.0325929,8.052,PS1
22,050301,0.8364,0.1665,10.5212,0.4922,0.0369611,0.1,PS1
23,050607,0.1383,0.0739845,9.458,0.3936,0.0444799,0.394,PS1
24,070955,1.431,-0.0267604,9.513,0.339,0.0289726,0.464,PS1
25,080723,0.1818,-0.146788,9.753,0.31,0.0353123,0.323,PS1
26,090201,0.0472343,-0.0851126,8.684,0.5004,0.0415603,7.083,PS1
27,091869,1.3525,0.00146722,10.347,0.328,0.0318658,0.444,PS1
28,100090,-1.02391,0.0486361,9.978,0.332,0.0316188,0.071,PS1
29,100163,0.2806,-0.0663995,10.434,0.4721,0.0515271,0.358,PS1
30,100213,0.8389,0.0267554,9.414,0.3125,0.0404482,0.36,PS1
31,100405,-0.920768,0.0533893,11.1314,0.3704,0.055174,0.1,PS1
32,110033,1.3105,-0.0256228,10.063,0.3926,0.0528333,0.237,PS1
33,110478,0.9276,-0.0320809,9.468,0.3211,0.0323303,0.394,PS1
34,110536,0.5596,0.1835,10.577,0.5121,0.0505913,0.198,PS1
35,110567,-1.00786,0.1569,11.403,0.469,0.0491504,0.006,PS1
36,110719,0.3565,-0.0324313,11.348,0.5547,0.0515111,0.343,PS1
37,110734,0.4674,-0.056542,11.404,0.6021,0.0431841,0.019,PS1
38,120085,-2.27747,0.0556272,10.9,0.3273,0.0423895,0.115,PS1
39,120094,1.0643,-0.156652,11.65,0.4284,0.0342393,7.62,PS1
40,120336,-0.233534,0.0576691,9.757,0.1757,0.0287821,0.584,PS1
41,120400,0.2207,-0.102891,9.83,0.4217,0.0414831,0.04,PS1
42,120585,0.2247,-0.145298,9.363,0.3092,0.0280639,0.274,PS1
43,130308,-1.01832,0.0989283,10.424,0.1766,0.0313709,0.513,PS1
44,130514,0.9565,-0.201028,10.2506,0.1769,0.0298229,0.1,PS1
45,130862,0.6676,-0.0804669,9.5892,0.3797,0.0324476,0.1,PS1
46,140181,0.7872,0.0258835,10.359,0.1142,0.0265043,0.008,PS1
47,150509,0.2037,-0.143671,10.78,0.3665,0.02929,0.004,PS1
48,151034,0.3217,-0.137265,11.64,0.0979176,0.0254659,4.426,PS1
50,160099,0.6212,-0.0130004,11.223,0.1279,0.0284667,0.288,PS1
51,160197,-0.205685,-0.0149368,10.158,0.3528,0.0393146,0.073,PS1
52,160200,-0.173163,0.169,10.867,0.8694,0.0861436,0.145,PS1
53,170428,-0.991886,-0.00873583,9.1073,0.2311,0.0305007,0.1,PS1
54,180166,0.6039,0.043707,10.88,0.1104,0.0253643,0.078,PS1
55,180561,0.00503994,0.144,8.444,0.2143,0.0316871,0.724,PS1
56,190230,-1.40579,-0.0663034,10.874,0.1351,0.0280074,0.028,PS1
57,190260,0.9768,-0.0426496,10.833,0.1226,0.0302266,0.042,PS1
58,300105,0.3349,0.0777468,9.866,0.0898563,0.0269583,0.059,PS1
59,310025,1.8483,-0.0697394,10.094,0.2545,0.030924,0.158,PS1
60,310042,1.2828,-0.0459035,11.645,0.6051,0.1364,6.779,PS1
61,310073,0.3825,-0.187336,9.3124,0.2288,0.0338568,0.1,PS1
62,310091,-0.248906,-0.0926472,9.066,0.4717,0.0430855,1.297,PS1
63,310161,0.1306,-0.0290543,9.577,0.1761,0.0266519,0.348,PS1
64,310238,-0.285391,-0.0730534,9.906,0.166,0.0270228,0.167,PS1
65,310574,-0.382361,-0.0158722,10.234,0.1611,0.0314131,0.143,PS1
66,320258,-1.86171,-0.05769,10.956,0.3893,0.0432059,0.045,PS1
67,330022,-1.2453,0.0157568,10.979,0.2841,0.0441981,0.085,PS1
68,330089,0.6839,0.0371286,9.651,0.5335,0.0359586,0.264,PS1
69,330128,0.3975,-0.079275,10.812,0.3959,0.0310002,0.024,PS1
70,330146,-2.01884,0.00487767,10.7478,0.3465,0.0332332,0.1,PS1
72,350047,-2.39869,-0.121707,10.491,0.4159,0.0587762,0.02,PS1
73,350078,0.306,0.1357,9.341,0.4848,0.0805114,1.214,PS1
74,350083,0.8382,-0.0366217,9.755,0.3683,0.0308841,0.426,PS1
75,350233,-0.467611,-0.00183745,9.181,0.1406,0.0272605,0.145,PS1
76,350316,-0.424436,-0.0622836,8.624,0.0870924,0.02763,0.566,PS1
77,350548,0.8901,-0.0205274,10.636,0.176,0.0285514,0.006,PS1
78,360112,1.1832,-0.0536294,9.381,0.1557,0.0286006,0.36,PS1
79,360140,0.027909,-0.0375313,8.834,0.2369,0.0283702,1.377,PS1
80,360156,-0.886559,-0.0188894,10.3,0.1451,0.0351514,0.045,PS1
81,370098,0.5363,-0.0207583,10.491,0.1517,0.0279057,0.134,PS1
82,370308,0.7724,-0.126805,11.239,0.882,0.0303183,0.037,PS1
83,370333,0.9243,-0.0118297,8.7576,0.1641,0.0377874,0.1,PS1
85,370369,-0.882831,-0.196981,11.387,0.2751,0.0445368,0.062,PS1
86,370428,0.6131,-0.0916593,10.124,0.1521,0.0266506,0.085,PS1
87,370563,1.1871,-0.0203282,10.859,0.2456,0.0297543,0.09,PS1
88,380279,-1.74704,-0.0409791,10.971,0.6014,0.0396564,0.026,PS1
89,380378,0.5201,-0.126246,10.364,0.1761,0.0252858,0.514,PS1
90,390264,0.1494,0.2335,9.619,0.3145,0.0335923,0.515,PS1
91,390471,0.9196,-0.148418,10.504,0.3045,0.0273747,0.209,PS1
92,420100,-1.96967,-0.14244,10.841,0.4353,0.0919908,0.194,PS1
93,420159,0.2626,-0.0573036,11.338,0.2064,0.0270087,0.011,PS1
94,420258,0.9126,0.2525,11.463,0.3249,0.0412442,0.013,PS1
95,420407,-0.289812,-0.0292431,10.504,0.2572,0.0393292,0.158,PS1
96,420417,-0.172899,-0.0307368,10.934,0.6883,0.0588292,0.067,PS1
97,430004,1.3237,0.0425965,10.51,0.4209,0.0464447,0.012,PS1
98,440008,-0.308936,0.00867246,10.064,0.1906,0.0264346,0.21,PS1
99,440042,-1.48252,0.00391304,9.028,0.2184,0.0273662,7.383,PS1
100,440162,0.8835,-0.0873322,11.611,0.5984,0.0375787,0.008,PS1
101,440509,-0.502527,-0.0878735,11.8593,0.6779,0.0615703,0.1,PS1
103,460003,-0.821656,-0.0620915,10.8761,0.1152,0.0276411,0.1,PS1
104,460037,0.7622,-0.0591937,9.655,0.6672,0.053132,0.309,PS1
105,460105,-1.68713,-0.0872912,11.601,0.1846,0.0359457,0.037,PS1
106,470008,0.7591,-0.0595428,10.3869,0.3048,0.0324246,0.1,PS1
107,470041,0.9347,-0.0564755,11.162,0.2975,0.0313454,0.018,PS1
108,470232,0.8313,0.00186952,9.737,0.1539,0.0273849,0.228,PS1
109,470244,-0.223696,-0.11676,9.115,0.3446,0.0393223,0.901,PS1
110,480064,0.4884,0.0853425,8.867,0.2678,0.0288708,0.462,PS1
111,480464,0.2738,-0.10851,10.917,0.1584,0.0277402,0.028,PS1
112,490008,0.3553,-0.0909013,9.43,0.1049,0.0261414,0.429,PS1
113,490521,-0.296717,0.2679,10.715,0.483,0.069912,0.821,PS1
114,500004,0.6175,-0.0922289,9.155,0.3585,0.0412054,0.296,PS1
115,500057,1.0633,-0.128657,9.102,0.3713,0.0292163,8.025,PS1
116,500100,-0.738341,-0.0941772,10.898,0.4142,0.0299069,0.069,PS1
117,500504,-0.797548,0.1153,11.075,0.257,0.0363114,0.0845,PS1
118,510251,0.0330479,0.0939843,11.654,0.3051,0.0300975,0.133,PS1
119,510457,0.7943,0.0997175,8.9025,0.8739,0.0688734,0.1,PS1
120,510578,0.586,-0.115513,9.8142,0.3041,0.0327872,0.1,PS1
121,510638,0.2179,-0.0761758,8.6546,0.1438,0.0275535,0.1,PS1
122,520019,-0.493408,-0.0142362,11.266,0.2752,0.0375427,0.108,PS1
123,520023,-0.594813,-0.0283079,11.324,0.4735,0.0607163,0.013,PS1
124,520062,0.3006,-0.0400936,10.6357,0.2826,0.033789,0.1,PS1
125,520077,-1.63331,-0.11017,11.3931,0.3821,0.0394641,0.1,PS1
126,520188,1.3948,-0.0671611,8.406,0.2694,0.025171,0.199,PS1
127,530112,-0.643746,-0.0436168,10.678,0.2726,0.0336218,0.1275,PS1
128,530219,-0.995881,-0.125828,11.1019,0.4381,0.0689552,0.1,PS1
129,540163,-0.257508,0.0496714,10.359,0.3591,0.0335542,0.374,PS1
130,550041,0.8091,-0.183305,7.4,0.2535,0.0430061,0.1,PS1
131,550096,1.2146,0.0268382,10.175,0.5093,0.0608165,0.278,PS1
132,550154,0.0921966,-0.0903113,10.582,0.2941,0.0311771,0.013,PS1
133,550218,-1.5559,-0.105666,9.1626,0.5009,0.06617,0.1,PS1
134,560087,-1.46849,-0.123096,11.27,0.4354,0.0483055,0.015,PS1
135,560121,0.088341,0.0498694,8.461,0.5261,0.0424184,0.1,PS1
136,560152,-0.145954,-0.0827289,11.416,0.8372,0.0356213,0.056,PS1
137,570025,-0.276853,-0.0712942,9.973,0.8093,0.0658699,0.4035,PS1
138,570062,0.124,-0.0715402,9.219,0.2507,0.0285263,0.23,PS1
139,580235,-0.334121,0.0152272,9.2832,0.31,0.039517,0.1,PS1
140,580275,-0.455308,-0.0746618,11.33,0.9172,0.0394838,0.127,PS1
141,580300,-0.575866,-0.0533624,9.477,0.3176,0.0398629,0.585,PS1
143,200132,0.3964,-0.0288663,9.056,0.2031,0.0323786,0.742,PS1
144,350180,0.463,-0.0219349,8.885,0.7379,0.0358988,0.558,PS1
145,000010,0.287,0.0267721,10.786,0.2891,0.0291683,0.225,PS1
146,000014,0.4477,-0.103421,10.534,0.5636,0.0333182,0.048,PS1
147,000038,0.7009,-0.0215461,9.126,0.1955,0.0288246,0.459,PS1
148,000137,-0.70382,0.0892516,11.103,0.1754,0.0301193,0.035,PS1
149,000174,-0.737599,0.0971416,10.532,0.2149,0.0298829,0.1,PS1
150,000196,0.4415,-0.0350224,9.66,0.2417,0.0248261,0.254,PS1
151,000202,0.5986,-0.158661,9.943,0.5074,0.0401943,7.309,PS1
152,000220,-0.696747,-0.115604,11.335,0.145,0.0272268,0.122,PS1
153,010010,0.9134,0.0209939,10.104,0.1577,0.0260514,0.089,PS1
154,020090,0.3567,-0.00205953,11.32,0.8954,0.0471949,0.273,PS1
155,030006,0.4485,-0.0817336,9.524,0.9538,0.0665198,1.084,PS1
156,040150,-0.261971,-0.0366865,8.413,0.5229,0.0429092,0.738,PS1
157,040201,0.3863,-0.0723113,9.2773,0.2127,0.0279788,0.1,PS1
158,040780,-0.906113,0.2878,10.963,0.4676,0.0399019,0.021,PS1
159,050003,1.0672,0.00697239,8.371,0.7484,0.0433736,1.435,PS1
160,050201,0.3023,-0.0624308,10.3896,0.6494,0.0457808,0.1,PS1
161,050291,0.3357,0.0184332,11.169,0.3892,0.0395185,0.036,PS1
162,050296,0.8053,-0.0407629,10.905,0.4804,0.0368832,0.029,PS1
163,050303,0.6228,0.1908,11.248,0.7354,0.0503476,0.022,PS1
164,050580,-0.376193,0.0311286,10.422,0.469,0.040022,0.14,PS1
165,070242,-1.11779,-0.11721,8.537,0.0784101,0.0331866,1.195,PS1
166,080064,-0.289023,0.2399,9.133,0.0860321,0.0333174,0.022,PS1
167,080646,-1.05336,-0.0824364,10.768,0.2692,0.0378533,0.023,PS1
168,090037,-1.14742,0.2419,10.109,0.4506,0.0610675,0.052,PS1
169,090275,-1.10636,-0.0287406,11.102,0.1734,0.0316018,0.008,PS1
170,100101,-0.747428,-0.0634109,11.578,0.478,0.0419949,0.16,PS1
171,100206,0.2479,-0.0657023,11.566,0.1636,0.0291079,0.013,PS1
172,100358,-0.416901,-0.0455962,9.553,0.6758,0.1039,0.972,PS1
173,110425,-0.192509,0.0202587,9.563,0.4212,0.0365606,0.342,PS1
174,110430,-0.881815,0.0231636,9.14,0.5712,0.0430173,0.492,PS1
175,110460,-0.119835,0.0265729,9.5517,0.2602,0.0371258,0.1,PS1
176,110484,-0.351864,0.0762564,8.86,0.5635,0.0621225,1.13,PS1
177,110542,0.5705,-0.0294666,10.595,0.5091,0.0380784,0.247,PS1
179,110721,0.4992,-0.0127508,11.847,0.6676,0.0683496,0.115,PS1
180,120044,0.7977,-0.134856,8.7828,0.637,0.044086,0.1,PS1
181,120086,0.2869,0.1214,11.029,0.4943,0.0451853,0.22,PS1
182,120143,-0.26833,-0.0621689,9.163,0.1465,0.0263723,0.213,PS1
183,120369,-0.205325,-0.110425,10.563,0.3282,0.0318346,0.166,PS1
184,120444,0.2582,-0.175611,9.389,0.9506,0.1411,0.1,PS1
185,120586,-0.298266,-0.049961,9.483,0.8333,0.0463999,0.559,PS1
186,130755,-0.0874744,-0.088398,8.952,0.5435,0.0409267,0.821,PS1
187,140152,1.4238,-0.0853669,9.694,0.1641,0.0263313,0.744,PS1
188,150254,-0.051758,0.0814117,9.355,0.1712,0.0269024,0.439,PS1
189,150457,0.5226,-0.0797747,11.454,0.2848,0.0285828,0.01,PS1
190,160070,1.1342,-0.0551946,11.119,0.3549,0.0318685,0.008,PS1
191,160126,-0.599528,0.00974346,10.914,0.763,0.0471982,0.088,PS1
192,160198,0.2156,-0.0847377,9.881,0.2982,0.0330643,0.717,PS1
193,160214,-1.44297,-0.110012,11.089,0.6236,0.0247508,0.108,PS1
194,170078,-1.11419,-0.0911511,10.419,0.536,0.0438682,0.045,PS1
195,180313,0.4178,-0.0376098,8.8262,0.4194,0.0349312,0.1,PS1
196,190209,0.5015,-0.0655242,11.705,0.3416,0.0340372,0.093,PS1
197,190340,0.5124,-0.0565526,10.748,0.0867292,0.0261465,0.034,PS1
198,300179,0.1008,-0.0912019,10.324,0.1782,0.0455841,0.112,PS1
199,310039,-0.298168,0.0267036,9.953,0.129,0.0273441,0.011,PS1
200,310051,-0.356706,0.11,10.435,0.2468,0.0306321,0.103,PS1
201,310090,-1.32536,-0.0376797,11.639,0.5818,0.0874282,0.017,PS1
202,310146,0.7472,-0.113788,9.3245,0.4479,0.0381795,0.1,PS1
203,310188,-0.214136,-0.0602477,11.264,0.2415,0.0314765,0.071,PS1
204,310260,0.0282778,-0.0549978,8.7967,0.5643,0.0490417,0.1,PS1
205,320099,0.5849,-0.0441576,10.7107,0.3411,0.0370157,0.1,PS1
206,320469,1.5196,0.0489674,11.776,0.7435,0.1331,0.199,PS1
207,330023,-0.220861,-0.155364,10.623,0.2932,0.0548145,0.04,PS1
208,330083,0.00125702,-0.0746203,8.78,0.3399,0.028199,0.241,PS1
209,340229,-1.4205,0.0040601,10.425,0.836,0.087724,0.1,PS1
210,350027,-0.430214,0.0472446,11.059,0.3156,0.0406713,0.025,PS1
211,350050,-0.293791,0.00310632,10.504,0.4313,0.0375362,0.336,PS1
212,350080,-0.344612,-0.0748037,11.229,0.4243,0.0321108,0.142,PS1
213,350192,0.1251,-0.0392646,8.553,0.2269,0.026145,7.88,PS1
214,350235,0.0616382,0.0266197,10.127,0.3411,0.0542669,0.406,PS1
215,350374,-0.744421,-0.0483196,10.9632,0.7766,0.0598489,0.1,PS1
216,350630,0.7062,-0.0170392,11.149,0.2346,0.028175,0.01,PS1
217,360139,0.6398,-0.0201292,11.022,0.3102,0.0335879,0.286,PS1
218,360145,0.3543,0.0195882,9.911,0.1831,0.0275302,0.157,PS1
219,370066,-0.0655924,-0.0919586,9.831,0.4611,0.0325489,0.034,PS1
220,370329,0.3087,-0.179783,9.642,0.6125,0.0442849,0.091,PS1
221,370344,0.3343,-0.010997,9.538,0.2926,0.0305603,0.1,PS1
222,370367,2.859,-0.00825477,9.631,0.6137,0.0386942,0.1,PS1
223,370394,-0.431213,-0.0821111,10.291,0.5315,0.0350007,6.456,PS1
224,370498,0.7734,-0.0564356,11.611,0.2034,0.0252541,0.1,PS1
225,370566,-0.200806,-0.00438883,9.745,0.102,0.0337386,0.192,PS1
226,370595,-0.0559962,-0.0709268,10.324,0.1632,0.02716,0.128,PS1
227,380318,-0.230602,-0.0322576,11.443,0.6247,0.0526464,0.016,PS1
228,390259,-0.286868,0.0368124,8.793,0.1167,0.0277407,1.299,PS1
230,390627,-1.69962,-0.185747,11.254,0.2561,0.0439858,0.022,PS1
231,420196,0.8068,0.0335263,10.315,0.3422,0.0368986,0.867,PS1
232,420352,0.4189,-0.0964594,9.185,0.371,0.0296548,1.037,PS1
233,420414,-0.988829,-0.0284634,11.004,0.3165,0.0463248,0.032,PS1
235,440005,0.1851,0.1392,11.388,0.4375,0.0392652,0.025,PS1
236,440050,-0.202805,-0.0376073,11.03,0.7002,0.0397624,0.035,PS1
237,440236,-0.733322,-0.073068,11.413,0.5181,0.0373781,0.184,PS1
238,440285,-1.4546,2.3214e-05,10.634,0.2313,0.0273479,0.01,PS1
239,440643,0.7332,-0.0840093,8.731,0.1863,0.0293738,0.349,PS1
240,450082,-0.0763364,-0.0619687,10.292,0.3221,0.0281398,0.082,PS1
241,450339,0.8847,-0.0232849,10.546,0.6357,0.0548117,0.197,PS1
242,460064,0.8455,-0.0620491,9.381,0.2812,0.0279356,0.55,PS1
243,470015,0.644,0.0739414,11.557,0.7812,0.0906475,0.064,PS1
245,470110,0.4304,-0.0154454,10.57,0.7742,0.0481173,0.018,PS1
246,480184,-2.17856,0.0887602,11.073,0.5127,0.0447333,0.04,PS1
247,490007,-0.209261,-0.0172234,9.761,0.0867535,0.0328507,0.067,PS1
248,490037,-0.0501134,-0.114638,11.417,0.485,0.0452984,0.238,PS1
249,500038,1.1886,0.0150033,10.404,0.1981,0.0269632,0.104,PS1
250,500065,-0.261394,-0.258811,10.016,0.4109,0.0525786,0.282,PS1
